UpTrend,NoTrend,DownTrend,Trend,Time
0,1,0,0,1406696400
0,1,0,0,1406697300
0,0,1,-1,1406698200
0,0,1,-1,1406699100
0,1,0,0,1406700000
0,1,0,0,1406700900
0,1,0,0,1406701800
0,0,1,-1,1406702700
0,0,1,-1,1406703600
0,0,1,-1,1406704500
0,1,0,0,1406705400
0,1,0,0,1406706300
0,1,0,0,1406707200
0,1,0,0,1406708100
0,1,0,0,1406709000
0,1,0,0,1406709900
1,0,0,1,1406710800
1,0,0,1,1406711700
1,0,0,1,1406712600
0,1,0,0,1406713500
0,1,0,0,1406714400
0,1,0,0,1406715300
1,0,0,1,1406716200
0,1,0,0,1406717100
0,1,0,0,1406718000
0,1,0,0,1406718900
0,1,0,0,1406719800
0,0,1,-1,1406720700
0,1,0,0,1406721600
0,1,0,0,1406722500
0,1,0,0,1406723400
1,0,0,1,1406724300
1,0,0,1,1406725200
1,0,0,1,1406726100
0,1,0,0,1406727000
1,0,0,1,1406727900
0,1,0,0,1406728800
0,1,0,0,1406729700
0,1,0,0,1406730600
0,1,0,0,1406731500
0,1,0,0,1406732400
1,0,0,1,1406733300
1,0,0,1,1406734200
0,1,0,0,1406735100
1,0,0,1,1406736000
0,1,0,0,1406736900
0,1,0,0,1406737800
0,1,0,0,1406738700
0,1,0,0,1406739600
0,1,0,0,1406740500
0,1,0,0,1406741400
1,0,0,1,1406742300
0,0,1,-1,1406743200
0,0,1,-1,1406744100
0,0,1,-1,1406745000
0,1,0,0,1406745900
0,0,1,-1,1406746800
0,0,1,-1,1406747700
0,0,1,-1,1406748600
0,0,1,-1,1406749500
0,0,1,-1,1406750400
0,0,1,-1,1406751300
0,0,1,-1,1406752200
0,1,0,0,1406753100
0,0,1,-1,1406754000
0,0,1,-1,1406754900
0,0,1,-1,1406755800
0,0,1,-1,1406756700
0,0,1,-1,1406757600
0,0,1,-1,1406758500
0,0,1,-1,1406759400
0,0,1,-1,1406760300
0,0,1,-1,1406761200
0,1,0,0,1406762100
0,0,1,-1,1406763000
0,0,1,-1,1406763900
0,1,0,0,1406764800
0,1,0,0,1406765700
0,1,0,0,1406766600
0,0,1,-1,1406767500
0,1,0,0,1406768400
0,1,0,0,1406769300
0,1,0,0,1406770200
0,1,0,0,1406771100
0,1,0,0,1406772000
1,0,0,1,1406772900
1,0,0,1,1406773800
0,1,0,0,1406774700
1,0,0,1,1406775600
1,0,0,1,1406776500
1,0,0,1,1406777400
1,0,0,1,1406778300
