UpTrend,NoTrend,DownTrend,Trend,Time
1,0,0,1,1407117600
1,0,0,1,1407118500
1,0,0,1,1407119400
0,1,0,0,1407120300
0,1,0,0,1407121200
0,1,0,0,1407122100
0,1,0,0,1407123000
0,1,0,0,1407123900
0,1,0,0,1407124800
0,1,0,0,1407125700
0,1,0,0,1407126600
0,1,0,0,1407127500
0,0,1,-1,1407128400
0,0,1,-1,1407129300
0,0,1,-1,1407130200
0,0,1,-1,1407131100
0,0,1,-1,1407132000
0,1,0,0,1407132900
0,1,0,0,1407133800
0,1,0,0,1407134700
0,1,0,0,1407135600
0,1,0,0,1407136500
0,1,0,0,1407137400
0,1,0,0,1407138300
0,1,0,0,1407139200
0,1,0,0,1407140100
0,1,0,0,1407141000
1,0,0,1,1407141900
1,0,0,1,1407142800
1,0,0,1,1407143700
0,1,0,0,1407144600
1,0,0,1,1407145500
1,0,0,1,1407146400
1,0,0,1,1407147300
1,0,0,1,1407148200
1,0,0,1,1407149100
0,1,0,0,1407150000
0,1,0,0,1407150900
0,1,0,0,1407151800
0,0,1,-1,1407152700
0,0,1,-1,1407153600
0,0,1,-1,1407154500
0,0,1,-1,1407155400
0,1,0,0,1407156300
0,1,0,0,1407157200
0,1,0,0,1407158100
0,1,0,0,1407159000
0,1,0,0,1407159900
0,1,0,0,1407160800
0,0,1,-1,1407161700
0,0,1,-1,1407162600
