UpTrend,NoTrend,DownTrend,Trend,Time
1,0,0,1,1406869200
1,0,0,1,1406870100
1,0,0,1,1406871000
1,0,0,1,1406871900
1,0,0,1,1406872800
1,0,0,1,1406873700
1,0,0,1,1406874600
1,0,0,1,1406875500
0,1,0,0,1406876400
1,0,0,1,1406877300
0,1,0,0,1406878200
0,1,0,0,1406879100
1,0,0,1,1406880000
1,0,0,1,1406880900
1,0,0,1,1406881800
1,0,0,1,1406882700
1,0,0,1,1406883600
1,0,0,1,1406884500
1,0,0,1,1406885400
1,0,0,1,1406886300
1,0,0,1,1406887200
1,0,0,1,1406888100
0,1,0,0,1406889000
0,1,0,0,1406889900
1,0,0,1,1406890800
0,1,0,0,1406891700
0,1,0,0,1406892600
0,1,0,0,1406893500
0,0,1,-1,1406894400
0,1,0,0,1406895300
0,0,1,-1,1406896200
0,0,1,-1,1406897100
0,0,1,-1,1406898000
0,1,0,0,1406898900
0,1,0,0,1406899800
0,1,0,0,1406900700
0,0,1,-1,1406901600
0,0,1,-1,1406902500
0,0,1,-1,1406903400
0,0,1,-1,1406904300
0,1,0,0,1406905200
0,1,0,0,1406906100
0,1,0,0,1406907000
0,1,0,0,1406907900
0,1,0,0,1406908800
0,1,0,0,1406909700
0,1,0,0,1406910600
0,1,0,0,1406911500
0,1,0,0,1406912400
0,1,0,0,1406913300
0,1,0,0,1406914200
0,1,0,0,1406915100
1,0,0,1,1406916000
1,0,0,1,1406916900
1,0,0,1,1406917800
1,0,0,1,1406918700
1,0,0,1,1406919600
1,0,0,1,1406920500
1,0,0,1,1406921400
1,0,0,1,1406922300
1,0,0,1,1406923200
0,1,0,0,1406924100
0,1,0,0,1406925000
0,1,0,0,1406925900
